ID,Nom,Valeur,Famille
607846,M. Gérald Darmanin,6016,Droite
0,Mme Elsa Faucillon et M. Richard Ramos,4405,Gauche
702191,Mme Nicole Belloubet,3510,Centre-gauche
717153,Mme Agnès Buzyn,2890,Centre
227076,Mme Jacqueline Gourault,2714,Centre
773443,M. Éric Dupond-Moretti,2354,Droite
345619,M. Edouard Philippe,2325,Centre-droit
717161,Mme Élisabeth Borne,2151,Centre-droit
759832,Mme Agnès Pannier-Runacher,2047,Centre-droit
717157,M. Jean-Michel Blanquer,1998,Centre-droit
729332,M. Julien Denormandie,1874,Centre-droit
717169,Mme Muriel Pénicaud,1862,Centre
906,M. Gérard Collomb,1568,Centre
643210,M. Sébastien Lecornu,1275,Centre-droit
415482,M. Jacques Mézard,1099,Centre
717163,Mme Marlène Schiappa,1048,Centre
717159,Mme Frédérique Vidal,990,Centre
1872,M. Jean-Yves Le Drian,882,Centre
703535,M. Jean-Baptiste Lemoyne,771,Centre-droit
759830,Mme Emmanuelle Wargon,682,Centre-gauche
415452,M. Didier Guillaume,676,Centre
773441,M. Jean Castex,650,Droite
764388,M. Cédric O,601,Centre
759834,M. Laurent Nunez,479,Centre
205600,Mme Florence Parly,429,Centre-gauche
744078,Mme Delphine Gény-Stephann,399,Centre-gauche
717165,Mme Sophie Cluzel,378,Centre-gauche
758792,Mme Roxana Maracineanu,362,Centre
717147,M. Nicolas Hulot,334,Centre-gauche
729330,Mme Nathalie Loiseau,294,Centre-gauche
717155,Mme Françoise Nyssen,225,Droite
332,Mme Roselyne Bachelot,207,Centre-droit
643184,Mme Brigitte Klinkert,155,Centre-droit
774109,M. Clément Beaune,134,Centre-droit
773451,M. Alain Griset,133,Gauche
764386,Mme Sibeth Ndiaye,97,Gauche
717171,Mme Laura Flessel,87,Centre-droit
1051,M. Jean-Paul Delevoye,79,Centre-gauche
773449,Mme Elisabeth Moreno,72,Centre-droit
-121339,Mme Olivia Grégoire,37,Centre
-103679,M. Didier Migaud,14,Gauche
-121449,M. Pierre Moscovici,11,Gauche
